dept_id,dept_name,faculty_id,campus,salary_total,avg_salary,avg_salary_m,avg_salary_f,avg_salary_unknown_gender,expenses_total,avg_expenses,avg_emp_rating,num_ratings,num_employees,female_count,male_count,no_gender_count
234,"Enrolment Services",NULL,van,479640,95928.0000,78476.0000,100291.0000,NULL,19464,3892.8000,3.0000,2,5,4,1,0
329,"Network Planning and BCNET",NULL,van,478197,95639.4000,95639.4000,NULL,NULL,6307,1261.4000,NULL,0,5,0,5,0
318,"Population Data BC",NULL,van,469199,93839.8000,88921.5000,113513.0000,NULL,7162,1432.4000,NULL,0,5,1,4,0
377,"Law Library ",NULL,van,465288,116322.0000,87839.0000,125816.3333,NULL,7980,1995.0000,NULL,0,4,3,1,0
116,"Financial Systems",NULL,van,463716,92743.2000,92461.3333,93166.0000,NULL,2838,567.6000,NULL,0,5,2,3,0
313,"Senior Directors Office Service Delivery & Selection",NULL,van,462113,115528.2500,95419.0000,122231.3333,NULL,23227,5806.7500,1.0000,1,4,3,1,0
188,"Midwifery Program",5,van,452049,113012.2500,NULL,113012.2500,NULL,20949,5237.2500,NULL,0,4,4,0,0
83,"Centre For Teaching & Learning",NULL,oka,448837,89767.4000,94072.6667,83309.5000,NULL,16701,3340.2000,NULL,0,5,2,3,0
148,"Student Housing & Hospitality Services",NULL,van,443384,110846.0000,118535.3333,87778.0000,NULL,9994,2498.5000,1.0000,1,4,1,3,0
82,"Indigenous Teacher Education Program Office",6,van,441725,88345.0000,81312.0000,90103.2500,NULL,22973,4594.6000,5.0000,1,5,4,1,0
211,"Technology Support",13,van,436187,87237.4000,86874.6667,93301.0000,82262.0000,0,0.0000,NULL,0,5,1,3,1
314,"Peter Wall Institute For Advanced Studies",NULL,van,434540,144846.6667,NULL,144846.6667,NULL,49224,16408.0000,NULL,0,3,3,0,0
167,"Education - Dean's Office",6,van,434293,86858.6000,80685.0000,88402.0000,NULL,4132,826.4000,NULL,0,5,4,1,0
16,"Ctv&Crtstud.-Dean's Office",NULL,oka,433828,144609.3333,151945.0000,129938.0000,NULL,38158,12719.3333,NULL,0,3,1,2,0
252,"Budget Office & Managment Reporting",NULL,van,433363,86672.6000,85181.0000,87667.0000,NULL,5691,1138.2000,NULL,0,5,3,2,0
343,"First Nations House of Learning",NULL,van,432734,144244.6667,154162.5000,124409.0000,NULL,5393,1797.6667,NULL,0,3,1,2,0
359,"Public Affairs",NULL,van,431668,107917.0000,100531.6667,130073.0000,NULL,12296,3074.0000,NULL,0,4,1,3,0
388,"Vantage College",NULL,van,428839,142946.3333,151883.0000,125073.0000,NULL,38061,12687.0000,4.0000,1,3,1,2,0
292,Facilities,5,van,419100,104775.0000,82997.0000,112034.3333,NULL,6480,1620.0000,NULL,0,4,3,1,0
87,"Human Resources",NULL,oka,415042,103760.5000,101444.0000,104532.6667,NULL,22345,5586.2500,NULL,0,4,3,1,0
251,Development,NULL,oka,412733,103183.2500,84054.0000,122312.5000,NULL,38367,9591.7500,NULL,0,4,2,2,0
220,"Irving K. Barber Library",NULL,van,412161,103040.2500,108558.0000,86487.0000,NULL,17798,4449.5000,NULL,0,4,1,3,0
348,"Geriatric Medicine Division",NULL,van,395177,98794.2500,106085.0000,91503.5000,NULL,7400,1850.0000,NULL,0,4,2,2,0
172,"Institute for Gender, Race, Sexuality and Social Justice",7,van,390201,130067.0000,NULL,130067.0000,NULL,14941,4980.3333,22.5000,10,3,3,0,0
193,"Institute for Computing, Information & Cognitive Systems",NULL,van,389954,129984.6667,233576.0000,78189.0000,NULL,79569,26523.0000,NULL,0,3,2,1,0
207,"Trades Administration",NULL,van,388928,97232.0000,96123.3333,100558.0000,NULL,5376,1344.0000,NULL,0,4,1,3,0
281,"Planning & Design",NULL,van,387176,96794.0000,96794.0000,NULL,NULL,20188,5047.0000,NULL,0,4,0,4,0
169,"Teacher Education Office",6,van,386090,96522.5000,96864.6667,95496.0000,NULL,10125,2531.2500,4.0000,1,4,1,3,0
340,"Botanical Garden and Centre for Horticulture",NULL,van,386025,96506.2500,102492.3333,78548.0000,NULL,9944,2486.0000,NULL,0,4,1,3,0
322,"Parking Services",NULL,van,382186,95546.5000,102182.6667,75638.0000,NULL,17346,4336.5000,NULL,0,4,1,3,0
179,"Deputy Vice-Chancellor and Principal",NULL,oka,379952,189976.0000,NULL,189976.0000,NULL,67403,33701.5000,5.0000,1,2,2,0,0
75,"Undergraduate Admissions",NULL,van,379014,94753.5000,104482.0000,85025.0000,NULL,6541,1635.2500,1.5000,2,4,2,2,0
